Specimen Name,Major Lobe value,Minor digitations value,CF
Adapis magnus,1,0.1,1.1
Adinotherium robustum,1,1.1,2.1
Aepyceros melampus,0,1.3,1.3
Agouti paca,0,1.2,1.2
Allodesmus gracilis,4,1.8,5.8
Antilocapra americana,1,1.2,2.2
Aotus trivirgatus,15,4.5,19.5
Aplodontia rufa,7,2.8,9.8
Archaelurus debilis,0,0.6,0.6
Archaeohyrax patagonicus,5,1.6,6.6
Archaeolemur edwardsi,0,0.7,0.7
Archaeotherium mortoni,0,1.1,1.1
Arctodyctis cf sinclairi,3,2.4,5.4
Arsinoitherium zitelli,0,0.7,0.7
Ateles belzebuth,3,1.2,4.2
Balaena mysticetus,0,0.8,0.8
Balaenoptera musculus,0,0.2,0.2
Borhyaena tubercata,4,2.1,6.1
Cainotherium laticurvatum,0,1.5,1.5
Calomyscus baluchi,0,1.9,1.9
Canis dirus,1,1,2
Caperea marginata,2,1.1,3.1
Capricornis sumatrensis,0,0.4,0.4
Castoroides ohioensis,6,2.1,8.1
Cavia australis,4,2.6,6.6
Cervus elaphus,0,0.8,0.8
Chaeropus ecaudatus,1,0.9,1.9
Cheirogaleus medius,4,3,7
Clyomys laticeps,1,1.6,2.6
Cormohipparion occidentale,1,1.3,2.3
Cricetomys gambianus,10,4.5,14.5
Cricetomys gambianus,8,2.9,10.9
Ctenomys latro,0,1.2,1.2
Cuniculus_paca,1,1.7,2.7
Dacrytherium sp,1,0.9,1.9
Dasypus novemictus,2,2.4,4.4
Delphinoidea ind,0,0.5,0.5
Salpintogulus grassicauda,2,1,3
Dorudon,0,1.1,1.1
Elotherium sp,0,1.1,1.1
Eotheroides libyca,1,0.9,1.9
Euhapsis ellicottae,0,1.3,1.3
Glaucomys sabrinus,3,1.9,4.9
Hippotragus equinus,0,1.2,1.2
Homocamelus caninus,1,1.2,2.2
Homotherium sp,1,1.4,2.4
Hyaenodon crucians,0,1.3,1.3
Hyracodon nebraskensis,0,1.2,1.2
Iomys horsfieldii,8,2.5,10.5
Janjucetus,3,1.3,4.3
Kobus ellipsiprymnus,0,0.8,0.8
Kogia breviceps,0,1.4,1.4
Lagostrophus fasciatus,3,1.4,4.4
Lestodon,2,2.2,4.2
Macrotis lagotis,0,0.4,0.4
Megaladapis edwardsi,2,1.5,3.5
Metoreodon profectus,1,1.1,2.1
Microtus ochrogaster,0,1.6,1.6
Muntiacus muntjack,2,0.5,2.5
Rattus norvegicus,1,4.5,5.5
Myocastor coypus,0,3.1,3.1
Mystromys albicaudatus,1,3.4,4.4
Neoparadoxia cecilialina,1,1.6,2.6
Brachyuromys betsi,5,2.5,7.5
Eliurus myoxi,1,2.5,3.5
Pedetes capensis,2,2,4
Pteronarctos goedertae,2,1.8,3.8
Ratufa affinis,1,3,4
Rhinolophus acuminatus,1,0.8,1.8
Saimiri sciureus,1,1.7,2.7
Sigmodon hispidus,6,2.9,8.9
Sirenian,2,1.2,3.2
Sthenurus andersoni,0,1,1
Tarsius tarsier,3,2.1,5.1
Thalassocnus littoralis,1,0.6,1.6
Thryonomys swinderianus,2,1.3,3.3
Thylacinus cynocephalus,2,1.4,3.4
Thylacosmilus sp,0,0.8,0.8
Tragelaphus scriptus,0,1.4,1.4
