"","V1"
"Adapis magnus",1.10195908704926
"Adinotherium robustum",1.36212819542506
"Aepyceros melampus",1.10071602414655
"Agouti paca",1.27501974272109
"Allodesmus gracilis",1.28780268343451
"Antilocapra americana",1.22935378711286
"Aotus trivirgatus",4.51091003754328
"Aplodontia rufa",2.19398598275688
"Archaelurus debilis",1.04780146898276
"Archaeohyrax patagonicus",1.36138570061446
"Archaeolemur edwardsi",1.10009240305731
"Archaeotherium mortoni",1.09215065258129
"Arctodyctis cf sinclairi",1.45293284697854
"Arsinoitherium zitelli",1.10776668136943
"Ateles belzebuth",1.27608115645171
"Balaena mysticetus",1.06903018457205
"Balaenoptera musculus",1.02426472741512
"Borhyaena tubercata",1.2201838436094
"Cainotherium laticurvatum",1.06138840917016
"Calomyscus baluchi",1.14430772604123
"Canis dirus",1.09827393033512
"Caperea marginata",1.11441079517523
"Capricornis sumatrensis",1.06868980017426
"Castoroides ohioensis",1.62252666885509
"Cavia australis",1.46229501741126
"Cervus elaphus",1.09549635001121
"Chaeropus ecaudatus",1.33388883183949
"Cheirogaleus medius",1.61198670209688
"Clyomys laticeps",1.5925588422509
"Cormohipparion occidentale",1.14132661878146
"Cricetomys gambianus",4.86089664398858
"Cricetomys gambianus",2.03638472201597
"Ctenomys latro",1.10120102181108
"Cuniculus_paca",1.13432365877066
"Dacrytherium sp",1.35632389015016
"Dasypus novemictus",1.42608069446727
"Delphinoidea ind",1.04106630335617
"Salpintogulus grassicauda",1.14693011391467
"Dorudon",1.05369993760123
"Elotherium sp",1.06541434830158
"Eotheroides libyca",1.19183190267858
"Euhapsis ellicottae",1.17736233010721
"Glaucomys sabrinus",1.33413052964484
"Hippotragus equinus",1.07816416329704
"Homocamelus caninus",1.22455945188876
"Homotherium sp",2.05825210544896
"Hyaenodon crucians",1.06820409569254
"Hyracodon nebraskensis",1.04421609895561
"Iomys horsfieldii",2.43878449001907
"Janjucetus",1.25447256466368
"Kobus ellipsiprymnus",1.04474205487
"Kogia breviceps",1.06489688156585
"Lagostrophus fasciatus",1.53952565579397
"Lestodon",1.63594885550884
"Macrotis lagotis",1.08531705665676
"Megaladapis edwardsi",1.30304623782985
"Metoreodon profectus",1.10856251236192
"Microtus ochrogaster",1.13174272502715
"Muntiacus muntjack",1.2592979571802
"Rattus norvegicus",2.05979701776997
"Myocastor coypus",1.47528759400741
"Mystromys albicaudatus",1.73602759495773
"Neoparadoxia cecilialina",1.15906283132429
"Brachyuromys betsi",2.15988414731345
"Eliurus myoxi",1.37415898510672
"Pedetes capensis",1.65000579453072
"Pteronarctos goedertae",1.51736240769849
"Ratufa affinis",1.38640617752033
"Rhinolophus acuminatus",1.18891364366574
"Saimiri sciureus",1.20413221000625
"Sigmodon hispidus",2.0006228504738
"Sirenian",1.48649384975654
"Sthenurus andersoni",1.03596540942829
"Tarsius tarsier",1.24856114031889
"Thalassocnus littoralis",1.20059082556222
"Thryonomys swinderianus",1.38364010820587
"Thylacinus cynocephalus",1.99807912327069
"Thylacosmilus sp",1.03853892447597
"Tragelaphus scriptus",1.04502621754379
